Category,PurchaseAmount
Food,16679
Books,6269
Books,2593
Food,8529
Health,13266
Electronics,3606
Electronics,13621
Clothing,17817
Health,13012
Electronics,16228
Clothing,11902
Health,8158
Books,4509
Home,2341
Electronics,7632
Electronics,4951
Electronics,8485
Electronics,2447
Clothing,15937
Food,4367
Electronics,7539
Books,14672
Electronics,12785
Beauty,6156
Clothing,11542
Clothing,11933
Health,6218
Beauty,16366
Electronics,7447
Health,5954
Electronics,13689
Clothing,11685
Food,6669
Electronics,18579
Electronics,12590
Electronics,1757
Books,7149
Clothing,10833
Electronics,15347
Beauty,13402
Clothing,7160
Clothing,9461
Electronics,17758
Home,3276
Health,6575
Clothing,12895
Clothing,5111
Food,5208
Electronics,18835
Clothing,8735
Electronics,13891
Clothing,17840
Clothing,14345
Books,11290
Books,2829
Beauty,10616
Clothing,5701
Clothing,15867
Books,10246
Electronics,10170
Clothing,12482
Clothing,5254
Beauty,3482
Electronics,16997
Food,6884
Electronics,4956
Food,7014
Electronics,3053
Home,7948
Food,3682
Electronics,7212
Electronics,12662
Health,4136
Books,15720
Clothing,15267
Food,8696
Books,11472
Food,9035
Health,11970
Food,11681
Food,12898
Food,14604
Health,11517
Clothing,13321
Electronics,8168
Food,17402
Books,4993
Health,8607
Food,4211
Beauty,4150
Home,9983
Electronics,8324
Books,15003
Clothing,14951
Books,19767
Food,5746
Clothing,7098
Clothing,12029
Electronics,1987
Clothing,7225
Food,9206
Health,13393
Electronics,5797
Clothing,6219
Books,11532
Home,12244
Food,3483
Electronics,4881
Electronics,14579
Food,13427
Books,7516
Electronics,15939
Food,17563
Clothing,8278
Clothing,4185
Books,6737
Clothing,4390
Books,4945
Food,5129
Electronics,7131
Clothing,8849
Electronics,12006
Clothing,10509
Food,12211
Health,12595
Clothing,9038
Electronics,17080
Electronics,7994
Beauty,3843
Clothing,7525
Books,11827
Electronics,7832
Food,5891
Beauty,19170
Electronics,10896
Books,13983
Electronics,6094
Electronics,8930
Clothing,14096
Food,10523
Books,14235
Clothing,16370
Clothing,15060
Food,9341
Clothing,2065
Books,5009
Electronics,12389
Food,15732
Food,2764
Electronics,10892
Beauty,15009
Electronics,4149
Health,13867
Food,15879
Food,13414
Food,11978
Electronics,13070
Electronics,23957
Books,8284
Books,1710
Clothing,5327
Clothing,12273
Electronics,2466
Food,17241
Home,9546
Clothing,3321
Books,15786
Electronics,2601
Clothing,10291
Food,2815
Electronics,14657
Electronics,3028
Beauty,7543
Books,10088
Clothing,12619
Electronics,4652
Food,3268
Clothing,17159
Food,2011
Beauty,3626
Books,7403
Health,14837
Food,5109
Food,19867
Books,7500
Electronics,17048
Electronics,13731
Clothing,13053
Beauty,6877
Clothing,11182
Electronics,1621
Food,4947
Electronics,5922
Electronics,17302
Electronics,9675
Clothing,7099
Beauty,14463
Books,2425
Clothing,4996
Electronics,12443
Electronics,8269
Electronics,5877
Electronics,12509
Electronics,16934
Food,13780
Electronics,18681
Electronics,9738
Clothing,6544
Clothing,7435
Beauty,18612
Clothing,15054
Electronics,7841
Electronics,16187
Home,14951
Clothing,3692
Books,15582
Books,16883
Food,11706
Books,11216
Clothing,4356
Clothing,1610
Home,11765
Electronics,6557
Electronics,4951
Electronics,19513
Electronics,14790
Food,9145
Electronics,10562
Electronics,10022
Electronics,18312
Electronics,11988
Clothing,6717
Books,1891
Health,7629
Beauty,6570
Clothing,7530
Books,18356
Clothing,17027
Books,7110
Clothing,19340
Clothing,16837
Electronics,2121
Electronics,5308
Clothing,6813
Electronics,3444
Electronics,8522
Electronics,7322
Electronics,2412
Books,7406
Clothing,2611
Health,9985
Clothing,12358
Electronics,17918
Clothing,7977
Electronics,16362
Health,6574
Clothing,8089
Electronics,14063
Electronics,14147
Home,3793
Food,5496
Food,4196
Electronics,7939
Books,7985
Electronics,10373
Food,8844
Clothing,2970
Books,15831
Books,3650
Home,9011
Clothing,8405
Electronics,8505
Health,12615
Food,7396
Electronics,4369
Books,16466
Health,20253
Food,2613
Electronics,15962
Home,3753
Electronics,11341
Home,16850
Books,4091
Home,13899
Health,15209
Food,2408
Books,12824
Books,6701
Health,20552
Electronics,13072
Electronics,8621
Beauty,12949
Food,2014
Food,12044
Clothing,4888
Beauty,11473
Books,6972
Health,9011
Food,5752
Clothing,15468
Health,14542
Clothing,4568
Health,4518
Electronics,11509
Food,18739
Clothing,16419
Books,2426
Food,7556
Food,14817
Clothing,10427
Electronics,12288
Electronics,14986
Clothing,9425
Health,2736
Electronics,10059
Clothing,7993
Electronics,1954
Beauty,3652
Clothing,17323
Clothing,12862
Home,2195
Electronics,9973
Books,14473
Food,4426
Clothing,9432
Electronics,12712
Clothing,6289
Clothing,3628
Books,15567
Clothing,3707
Electronics,3426
Clothing,9140
Food,3305
Electronics,4101
Food,10816
Clothing,8805
Electronics,16227
Food,3966
Beauty,11232
Clothing,13890
Electronics,21192
Electronics,9981
Clothing,3926
Electronics,7464
Electronics,8456
Health,3650
Books,9816
Electronics,6852
Clothing,7680
Electronics,8147
Books,16688
Electronics,3065
Clothing,17688
Electronics,9162
Home,9151
Food,10967
Clothing,5591
Clothing,8277
Clothing,4227
Clothing,4550
Home,5122
Home,11222
Books,8186
Clothing,2392
Books,4857
Electronics,6138
Electronics,7673
Food,6895
Food,2807
Books,5196
Food,14572
Electronics,16780
Food,4722
Food,20041
Food,10093
Home,9243
Health,4070
Health,2710
Clothing,9947
Food,11707
Clothing,4473
Books,17505
Books,2932
Clothing,12304
Health,7122
Food,3491
Clothing,4005
Health,2816
Home,8347
Clothing,3263
Electronics,11615
Food,9963
Books,8798
Electronics,14351
Books,4545
Clothing,5661
Electronics,10624
Beauty,6659
Books,2042
Books,10180
Books,10835
Food,12642
Electronics,5243
Clothing,5617
Electronics,13343
Books,16986
Health,11327
Food,10174
Clothing,17777
Books,5410
Electronics,3758
Electronics,8349
Food,12452
Books,7575
Food,2200
Books,11235
Clothing,4406
Food,5491
Books,16232
Clothing,11506
Health,9639
Clothing,12587
Health,10503
Food,2473
Clothing,6995
Food,4075
Books,12444
Books,13732
Electronics,9834
Electronics,3595
Clothing,16276
Food,16250
Food,8092
Electronics,5443
Clothing,2723
Electronics,15467
Books,4799
Books,17146
Electronics,10602
Beauty,17744
Books,15307
Home,17342
Food,13291
Clothing,14494
Beauty,1525
Electronics,16155
Books,8238
Books,9500
Clothing,3765
Food,6837
Beauty,18350
Books,7913
Books,9623
Electronics,14474
Food,2820
Clothing,7319
Health,1878
Food,5002
Clothing,7334
Clothing,13158
Electronics,17037
Beauty,8231
Clothing,6265
Books,16222
Clothing,4544
Health,13327
Food,6437
Clothing,14803
Electronics,10320
Home,10180
Health,15102
Health,3785
Books,8298
Health,8393
Home,3659
Electronics,3264
Clothing,3651
Electronics,12776
Clothing,14269
Electronics,1918
Beauty,12502
Clothing,13125
Food,15724
Home,7259
Books,2890
Health,5985
Electronics,5430
Electronics,10177
Clothing,7525
Books,13426
Electronics,19646
Electronics,13390
Electronics,3926
Books,1754
Food,12826
Home,13661
Food,8727
Beauty,2392
Health,15743
Electronics,14750
Health,7110
Clothing,2082
Beauty,12477
Electronics,4970
Health,7327
Food,13327
Food,16155
Clothing,15812
Clothing,17351
Electronics,15960
Home,7794
Beauty,18665
Electronics,7387
Electronics,4310
Electronics,13264
Clothing,8969
Beauty,12642
Beauty,13623
Food,8508
Food,10329
Health,16389
Food,6303
Clothing,10416
Clothing,15828
Clothing,6531
Clothing,13405
Clothing,5755
Books,12805
Books,3481
Clothing,9857
Health,13760
Home,11812
Beauty,10824
Clothing,5013
Clothing,10125
Clothing,8003
Beauty,15248
Food,4668
Home,16176
Electronics,8420
Health,8415
Food,11014
Home,5635
Home,4527
Clothing,16292
Books,6555
Clothing,17034
Books,13382
Electronics,6669
Food,9744
Home,7366
Electronics,3587
Home,7294
Health,5786
Electronics,9455
Clothing,17284
Electronics,7788
Clothing,5492
Electronics,9066
Clothing,8386
Electronics,11820
Clothing,3442
Clothing,5091
Food,9858
Clothing,12030
Electronics,17565
Clothing,13330
Home,8661
Books,7667
Clothing,5965
Electronics,6918
Electronics,7038
Electronics,12747
Home,9767
Books,14810
Food,2461
Health,9675
Electronics,11914
Home,5129
Clothing,14940
Books,5528
Home,6127
Food,3378
Electronics,1879
Clothing,8356
Electronics,13666
Beauty,15238
Clothing,11371
Clothing,8079
Health,5085
Electronics,7999
Electronics,7228
Health,9819
Electronics,10515
Clothing,8428
Food,17179
Food,14758
Clothing,15652
Food,10155
Beauty,16721
Electronics,14127
Electronics,9086
Electronics,2098
Electronics,11569
Food,5249
Food,7294
Clothing,9494
Food,4181
Electronics,5750
Electronics,6712
Food,13040
Beauty,13690
Electronics,7826
Clothing,4119
Food,13743
Food,11286
Clothing,1247
Electronics,9382
Clothing,5841
Clothing,3242
Electronics,12576
Beauty,1787
Food,2134
Books,13689
Food,7513
Electronics,10823
Books,15929
Electronics,7334
Electronics,8073
Clothing,5360
Electronics,2859
Books,12950
Food,5209
Beauty,17618
Clothing,14932
Clothing,8492
Electronics,12073
Electronics,10463
Health,8788
Food,9299
Health,16818
Clothing,10763
Electronics,1922
Home,12796
Electronics,18282
Clothing,8153
Electronics,10350
Clothing,6945
Electronics,13954
Clothing,5342
Clothing,2283
Electronics,7989
Health,7180
Books,11397
Electronics,13800
Electronics,16175
Clothing,3169
Electronics,4376
Electronics,9308
Beauty,5683
Electronics,4698
Clothing,2986
Electronics,18236
Clothing,6588
Clothing,12634
Electronics,5383
Health,2772
Home,12576
Clothing,16137
Health,9845
Food,18086
Clothing,5224
Food,16990
Electronics,4012
Electronics,2655
Electronics,9097
Books,6155
Clothing,15620
Home,13994
Beauty,4199
Clothing,2381
Books,13319
Electronics,13619
Clothing,8302
Books,10970
Home,15394
Books,6122
Books,6578
Electronics,21882
Books,13576
Electronics,6382
Food,4376
Health,11472
Health,10654
Food,11523
Books,2187
Electronics,9595
Food,9186
Health,8949
Clothing,1942
Clothing,13513
Electronics,4001
Food,13286
Health,12356
Food,9259
Health,7417
Books,13223
Electronics,10325
Food,6625
Home,6606
Clothing,6089
Clothing,8534
Electronics,8786
Electronics,4755
Health,2136
Electronics,3655
Clothing,8275
Home,11000
Health,9435
Clothing,15774
Health,12346
Electronics,14734
Electronics,2203
Health,8193
Home,10200
Electronics,15841
Clothing,16208
Home,4589
Food,7701
Clothing,5464
Clothing,14396
Electronics,11914
Food,5339
Books,3547
Home,15915
Food,11942
Books,12083
Clothing,5072
Electronics,10267
Health,12013
Home,16115
Electronics,3155
Clothing,7556
Food,15181
Clothing,15489
Books,11495
Food,13288
Food,9729
Clothing,4017
Electronics,10813
Clothing,3823
Electronics,3864
Food,18879
Beauty,7711
Food,14174
Clothing,11250
Books,4391
Food,8305
Clothing,7122
Electronics,2007
Electronics,4277
Food,3639
Books,11637
Electronics,6515
Clothing,12970
Clothing,2662
Food,12902
Clothing,13426
Electronics,16118
Clothing,1286
Food,2358
Clothing,10245
Electronics,1256
Clothing,6714
Health,3429
Electronics,6650
Food,8957
Home,7866
Electronics,15140
Food,12089
Electronics,5843
Electronics,9331
Clothing,11053
Clothing,4027
Electronics,11729
Electronics,6986
Electronics,11213
Food,17377
Electronics,5899
Health,11674
Food,8194
Electronics,11019
Books,16167
Clothing,11322
Electronics,13193
Electronics,8529
Clothing,14066
Electronics,7386
Electronics,15904
Beauty,7329
Books,9955
Clothing,9091
Health,1958
Clothing,2486
Books,16674
Electronics,11528
Electronics,10701
Health,5534
Electronics,13461
Books,18202
Books,16489
Clothing,3261
Home,12977
Electronics,10052
Clothing,19424
Electronics,8175
Clothing,13480
Clothing,3920
Clothing,7702
Food,1342
Clothing,8302
Electronics,12814
Food,3067
Beauty,4238
Clothing,10224
Electronics,18794
Electronics,6693
Clothing,15025
Electronics,18738
Food,2166
Electronics,5421
Books,13506
Clothing,13213
Electronics,17557
Electronics,10231
Food,13246
Clothing,9989
Electronics,6136
Books,12903
Clothing,5684
Books,6822
Electronics,12492
Food,11010
Food,12285
Books,7440
Books,15357
Clothing,4343
Electronics,3436
Books,8658
Electronics,5224
Books,11823
Food,14250
Electronics,10590
Electronics,4303
Beauty,9635
Electronics,16435
Beauty,2238
Clothing,1772
Clothing,3105
Health,4311
Electronics,10296
Electronics,9176
Clothing,14643
Food,16043
Food,9057
Food,14845
Food,10847
Electronics,4134
Clothing,13562
Electronics,10007
Health,7065
Food,11655
Electronics,10509
Electronics,6421
Electronics,4406
Food,18209
Electronics,11026
Books,16539
Food,1772
Electronics,12282
Clothing,7450
Health,12317
Clothing,7877
Electronics,12610
Home,10034
Electronics,15885
Clothing,10668
Books,8019
Electronics,7864
Electronics,8794
Health,7913
Books,16257
Electronics,13021
Electronics,15518
Clothing,4723
Electronics,15730
Electronics,4665
Electronics,4687
Food,17518
Electronics,16003
Electronics,9796
Electronics,3273
Electronics,3385
Electronics,5274
Clothing,9494
Home,7317
Clothing,18598
Home,2583
Electronics,16899
Electronics,10980
Health,5362
Home,16219
Electronics,7596
Health,9807
Electronics,12537
Clothing,3969
Food,20830
Clothing,13460
Clothing,16058
Beauty,16703
Beauty,17116
Electronics,9568
Food,9790
Electronics,1757
Electronics,8519
Home,4908
Food,14535
Electronics,9842
Food,2825
Beauty,13536
Home,14704
Health,16529
Clothing,16447
Clothing,10714
Electronics,12048
Home,14637
Beauty,16851
Electronics,8870
Health,19816
Clothing,9375
Health,2821
Health,8617
Electronics,14479
Electronics,15183
Clothing,7635
Food,20454
Electronics,2680
Books,21425
Electronics,15534
Electronics,12363
Electronics,8075
Clothing,10135
Health,9444
Food,11147
Health,4923
Books,3443
Food,9954
Electronics,4738
Electronics,13420
Books,15233
Books,14016
Books,4084
Health,12747
Books,16373
Electronics,9810
Books,7357
Food,2523
Clothing,15608
Food,11381
Clothing,11607
Electronics,2938
Electronics,13368
Electronics,11159
Books,17658
Books,7300
Food,3746
Electronics,5352
Electronics,5694
Food,8985
Electronics,11263
Electronics,12910
Food,17493
Electronics,18214
Food,14608
Electronics,10122
Home,5466
Clothing,11928
Electronics,14372
Home,2982
Electronics,15053
Electronics,8408
Health,16555
Clothing,16418
Clothing,13275
Electronics,13480
Beauty,13543
Beauty,10643
Electronics,11939
Books,2063
Electronics,17272
Food,1438
Electronics,13979
Electronics,6389
Health,7489
Beauty,6338
Food,18801
Health,11019
Home,9666
Electronics,19634
Health,5072
Books,13068
Food,11680
Books,4436
Food,9455
Electronics,11659
Clothing,12712
Food,7634
Electronics,15246
Electronics,10209
Electronics,5045
Books,12027
Books,4166
Books,16430
Electronics,3626
Clothing,15355
Home,13890
Beauty,5882
Food,9987
Health,4330
Clothing,11464
Food,5222
Food,19454
Electronics,5607
Clothing,6063
Beauty,14479
Clothing,11966
Electronics,6572
Beauty,14887
Home,4479
Clothing,3881
Clothing,14745
Health,3085
Beauty,4003
Books,16805
Clothing,15729
Home,1724
Electronics,11664
Food,3216
Home,13113
Clothing,5080
Beauty,6687
Food,16641
Health,4351
Food,12622
Electronics,13238
Electronics,6944
Food,7092
Home,14966
Books,5395
Beauty,3233
Health,10665
Electronics,14509
Clothing,7569
Clothing,6902
Electronics,10457
Food,11278
Health,4212
Clothing,2393
Books,9050
Clothing,11077
Food,9081
Electronics,7165
Clothing,16229
Clothing,6463
Electronics,4655
Electronics,16218
Clothing,11255
Books,10424
Clothing,17153
Electronics,6901
Electronics,9984
Beauty,7182
Electronics,12926
Electronics,14683
Clothing,11236
Electronics,10818
Home,18851
Health,11160
Clothing,2840
Clothing,7394
Food,8130
Books,10238
Clothing,4783
Electronics,4100
Food,7556
Clothing,10542
Clothing,11634
Electronics,13389
Electronics,11271
Home,16001
Electronics,4699
Electronics,14033
Health,12818
Clothing,16992
Books,16758
Clothing,5323
Food,6164
Clothing,3393
Clothing,18710
Home,11511
Clothing,6246
Health,4949
Food,2463
Food,14547
Clothing,2526
Electronics,9921
Home,13633
Clothing,8786
Electronics,14762
Books,11604
Books,11276
Electronics,10792
Beauty,8030
Food,11601
Electronics,10310
Books,11542
Books,9083
Health,14218
Clothing,4145
Clothing,13547
Clothing,2104
Home,3210
Clothing,3602
Electronics,10483
Electronics,12129
Home,7967
Home,9264
Clothing,14009
Electronics,4341
Health,16565
Food,12922
Electronics,14428
Electronics,10663
Electronics,13962
Electronics,20106
Clothing,6340
Clothing,1845
Electronics,3429
Food,3884
Home,14768
Food,10461
Electronics,17005
Clothing,7118
Electronics,5433
Food,2786
Books,6515
Health,16123
Electronics,2635
Food,10708
Food,3594
Health,12523
Food,3362
Electronics,2358
Home,15895
Clothing,5081
Health,12528
Electronics,15463
Electronics,2873
Clothing,14416
Electronics,12270
Electronics,7607
Clothing,15692
Food,1558
Food,2417
Electronics,11377
Food,2957
Food,16691
Books,3318
Food,7277
Electronics,9077
Health,18755
Electronics,12396
Food,9756
Health,7072
Electronics,3952
Food,10603
Clothing,1670
Clothing,6085
Health,9939
Electronics,5345
Health,11896
Books,20070
Clothing,7115
Electronics,9951
Electronics,6435
Food,7599
Clothing,2615
Electronics,9177
Electronics,7196
Books,7230
Books,13908
Beauty,11412
Clothing,1626
Electronics,9687
Books,6356
Clothing,6186
Electronics,4948
Beauty,12275
Electronics,11166
Electronics,10188
Health,7450
Clothing,4311
Clothing,13887
Books,16498
Food,7209
Food,9994
Books,3421
Clothing,15755
Clothing,8932
Food,17212
Food,10001
Home,5582
Electronics,16468
Electronics,12136
Electronics,9242
Beauty,4641
Books,16347
Electronics,15058
Beauty,10580
Beauty,7706
Clothing,12227
Books,17509
Clothing,15985
Food,15817
Health,1742
Health,11452
Electronics,2003
Electronics,3266
Health,14143
Electronics,6263
Electronics,13927
Health,15550
Food,2833
Food,15574
Electronics,9697
Books,14059
Books,12960
Electronics,17908
Food,19978
Food,11045
Electronics,12035
Electronics,5975
Health,15164
Electronics,11945
Food,5087
Clothing,14346
Beauty,5327
Electronics,10203
Books,13502
Beauty,6228
Food,14336
Home,14779
Electronics,1950
Electronics,2894
Health,6382
Clothing,6147
Beauty,6204
Electronics,5124
Clothing,18993
Books,14775
Beauty,14017
Books,10152
Electronics,6311
Health,3228
Electronics,17467
Health,2914
Electronics,1827
Food,2613
Books,11483
Electronics,12601
Clothing,10809
Clothing,6067
Beauty,8980
Food,13604
Books,6529
Health,7817
Beauty,3313
Health,13420
Electronics,12504
Books,12477
Clothing,2107
Electronics,9568
Electronics,3118
Food,2943
Books,8268
Electronics,12435
Clothing,20512
Clothing,14958
Food,3068
Clothing,4866
Electronics,8292
Food,17823
Health,14130
Electronics,4385
Health,9722
Electronics,6161
Books,11348
Clothing,13239
Clothing,7293
Books,4081
Food,2210
Clothing,14993
Food,12661
Electronics,15767
Food,16682
Electronics,17296
Books,12871
Electronics,9927
Books,7081
Beauty,3659
Clothing,11737
Electronics,19263
Electronics,5449
Electronics,16112
Electronics,17484
Clothing,6421
Food,3912
Food,6741
Electronics,4135
Clothing,1987
Books,11545
Clothing,10928
Clothing,7622
Health,13641
Home,13631
Electronics,2914
Electronics,14185
Clothing,15153
Electronics,8047
Electronics,10769
Books,3555
Electronics,17113
Clothing,8316
Beauty,19047
Health,1854
Books,5937
Electronics,10300
Electronics,11189
Electronics,6390
Books,13846
Electronics,14983
Food,2814
Food,4338
Electronics,1861
Food,4392
Electronics,4368
Books,16592
Electronics,8087
Beauty,8135
Electronics,13561
Books,3304
Books,5043
Food,13189
Electronics,13433
Food,18947
Electronics,8264
Electronics,12448
Health,14985
Clothing,17471
Clothing,13912
Books,10485
Beauty,9762
Electronics,3766
Clothing,12477
Food,7181
Books,12654
Health,7464
Electronics,16852
Food,3499
Electronics,16414
Clothing,15876
Clothing,2107
Books,15953
Books,12424
Electronics,8606
Health,11057
Health,7143
Home,5473
Electronics,11223
Books,2857
Clothing,11722
Home,15294
Clothing,11385
Food,3408
Clothing,17577
Clothing,14196
Health,1877
Clothing,8045
Clothing,17097
Electronics,13231
Clothing,7684
Books,8974
Clothing,8640
Food,8285
Electronics,4997
Clothing,4193
Beauty,10829
Clothing,4305
Books,10805
Clothing,7117
Clothing,9007
Electronics,15657
Health,20125
Books,7031
Home,5989
Home,6206
Clothing,1754
Clothing,9639
Food,17215
Home,13027
Food,1816
Books,7380
Health,2848
Electronics,14177
Food,5019
Beauty,7494
Food,4164
Clothing,11057
Electronics,1745
Clothing,11659
Beauty,14682
Clothing,1809
Beauty,14575
Health,11746
Books,13920
Beauty,10422
Electronics,2120
Clothing,5974
Electronics,8737
Books,2269
Health,12106
Health,9671
Books,4680
Food,10415
Electronics,2072
Clothing,9913
Books,6189
Food,19223
Home,12388
Beauty,3088
Books,15916
Clothing,6985
Electronics,13499
Home,7522
Electronics,11507
Clothing,14474
Books,8002
Health,15599
Clothing,8234
Clothing,7247
Food,9505
Health,11713
Home,16773
Home,10996
Clothing,8696
Clothing,10983
Electronics,9989
Health,12911
Books,15348
Food,11238
Electronics,8865
Electronics,14837
Health,2314
Health,11519
Books,10457
Books,12256
Electronics,18826
Food,3734
Electronics,5678
Electronics,3128
Electronics,3153
Books,16838
Electronics,14122
Beauty,14592
Clothing,13870
Clothing,5432
Clothing,8135
Food,11873
Clothing,5930
Clothing,5605
Home,14169
Electronics,6751
Beauty,17371
Electronics,5633
Electronics,7212
Books,16467
Electronics,18691
Beauty,16566
Health,10558
Electronics,11746
Electronics,8175
Books,7510
Books,4666
Health,16336
Electronics,13062
Books,7163
Food,19060
Books,6375
Food,10259
Books,11417
Books,16606
Clothing,12906
Books,10936
Home,9713
Clothing,18339
Electronics,10182
Clothing,4283
Food,14305
Electronics,20129
Food,4878
Food,7232
Electronics,15754
Beauty,3387
Electronics,15099
Electronics,8479
Electronics,2892
Clothing,14722
Electronics,13489
Books,11889
Food,9055
Food,2809
Electronics,17769
Books,11851
Electronics,3059
Electronics,18498
Electronics,7948
Books,14599
Electronics,7162
Clothing,7001
Food,3729
Electronics,13683
Health,5523
Clothing,12765
Home,10789
Clothing,13886
Books,4955
Electronics,6783
Clothing,14202
Books,10537
Home,8844
Clothing,6235
Electronics,15095
Electronics,2591
Electronics,11082
Food,15289
Clothing,9866
Electronics,21186
Food,9213
Food,12019
Books,11709
Home,15875
Clothing,8752
Clothing,3122
Food,4583
Electronics,3277
Clothing,7494
Food,1850
Food,14736
Beauty,18054
Clothing,13437
Food,8474
Food,16401
Clothing,4986
Electronics,10885
Clothing,3491
Clothing,3206
Books,12994
Electronics,14173
Home,11235
Clothing,4699
Electronics,16184
Home,12487
Food,5714
Health,8118
Health,12152
Food,4209
Books,18204
Books,17350
Books,6474
Electronics,9414
Electronics,13332
Electronics,8466
Books,13917
Home,4662
Electronics,7195
Electronics,2266
Books,15883
Books,11657
Clothing,10845
Health,4289
Electronics,14050
Books,9723
Food,15751
Health,5728
Electronics,2019
Food,4967
Clothing,7591
Electronics,9117
Beauty,11687
Food,8836
Books,12800
Books,15691
Books,14225
Health,3856
Clothing,9445
Food,2933
Clothing,11296
Clothing,14926
Electronics,9370
Books,8938
Clothing,16160
Electronics,4569
Clothing,15399
Food,12393
Health,3224
Clothing,13109
Clothing,2185
Electronics,2058
Electronics,12131
Electronics,1750
Health,13034
Books,10257
Food,7710
Electronics,11314
Clothing,3333
Clothing,3604
Electronics,10560
Electronics,7466
Electronics,2435
Beauty,7347
Food,16652
Health,2666
Beauty,7963
Beauty,2708
Electronics,13839
Beauty,8789
Beauty,11867
Health,4248
Food,2291
Health,5462
Food,17790
Food,2374
Books,15406
Electronics,15873
Food,8996
Electronics,5298
Electronics,15363
Clothing,4422
Clothing,5349
Books,7170
Food,6201
Electronics,4560
Food,5009
Home,17163
Clothing,4390
Electronics,7859
Electronics,4437
Health,9311
Home,9387
Electronics,11930
Clothing,7554
Food,3608
Clothing,9464
Food,8018
Electronics,3622
Books,12441
Clothing,15770
Food,16068
Electronics,1983
Books,8815
Beauty,17086
Books,15347
Home,9760
Food,16190
Electronics,3352
Electronics,6048
Clothing,13796
Books,3166
Books,8425
Health,15938
Clothing,8015
Health,6183
Electronics,11291
Clothing,3421
Books,4442
Food,4901
Food,9197
Health,12121
Electronics,13395
Health,11547
Books,12957
Clothing,2666
Books,10217
Food,14101
Clothing,19460
Books,7553
Food,5498
Beauty,6670
Clothing,7958
Electronics,3167
Beauty,8527
Clothing,6181
Electronics,3818
Health,10633
Clothing,10772
Electronics,6212
Clothing,8559
Books,2810
Electronics,11749
Electronics,3630
Clothing,9480
Books,10742
Beauty,14256
Food,10982
Clothing,8594
Home,2182
Food,6871
Electronics,7870
Food,13785
Clothing,8491
Electronics,17772
Clothing,11440
Electronics,8658
Books,8201
Electronics,11028
Electronics,8592
Electronics,5455
Books,9903
Electronics,14722
Food,8258
Food,7068
Electronics,5937
Health,11730
Home,8408
Food,14407
Clothing,5195
Home,5174
Home,14743
Books,6318
Health,7084
Health,13915
Clothing,13662
Electronics,3014
Food,6408
Electronics,13260
Electronics,18320
Electronics,1738
Health,17827
Food,9497
Clothing,3718
Health,10223
Health,12416
Books,4201
Clothing,15090
Clothing,10796
Electronics,17643
Food,10547
Books,7199
Electronics,6562
Books,15075
Electronics,17055
Electronics,3852
Books,8466
Food,22482
Food,12056
Electronics,4723
Clothing,3593
Food,3510
Health,10188
Books,15927
Electronics,3806
Home,10393
Electronics,10919
Beauty,15022
Electronics,1890
Food,17122
Books,18142
Food,2896
Electronics,18765
Clothing,11535
Electronics,7593
Health,12441
Health,5468
Clothing,16845
Electronics,7259
Health,16878
Electronics,2704
Books,4896
Electronics,11810
Food,11985
Electronics,12855
Health,3872
Electronics,9942
Food,10232
Health,8736
Books,16207
Food,19242
Clothing,17545
Clothing,17556
Books,11417
Electronics,9276
Books,20892
Books,15026
Books,11786
Health,13595
Clothing,5042
Books,12557
Books,8984
Electronics,8997
Electronics,12151
Health,5500
Electronics,10234
Books,17113
Food,16390
Books,3897
Electronics,5409
Books,5672
Health,17197
Books,11891
Electronics,16173
Health,9449
Home,4036
Books,15584
Books,6553
Clothing,16086
Home,18436
Books,7353
Clothing,3296
Home,14960
Electronics,3471
Health,15417
Books,4720
Food,13365
Electronics,12226
Food,18193
Electronics,8518
Home,14535
Food,11218
Beauty,5194
Electronics,2851
Electronics,7825
Food,11243
Electronics,11393
Clothing,2784
Food,6329
Food,8921
Books,14717
Books,1936
Books,11358
Books,10456
Clothing,12848
Electronics,4739
Electronics,12231
Home,3523
Home,18464
Clothing,14386
Electronics,3838
Electronics,13482
Electronics,11512
Electronics,14429
Clothing,10234
Books,4920
Clothing,10677
Electronics,7200
Food,3401
Electronics,10036
Books,10840
Clothing,13822
Electronics,4269
Electronics,8546
Electronics,11766
Home,15939
Books,19173
Electronics,9939
Books,11220
Food,16466
Clothing,5803
Beauty,11010
Health,2913
Clothing,17340
Clothing,10777
Health,9870
Books,12315
Clothing,8885
Electronics,15812
Food,3002
Electronics,2836
Food,6660
Health,19781
Books,7268
Electronics,9562
Health,9468
Health,16394
Food,1811
Electronics,4048
Clothing,16845
Clothing,15434
Home,5626
Electronics,4690
Electronics,10912
Books,2400
Clothing,3379
Electronics,4551
Books,14627
Food,18112
Health,14007
Beauty,2693
Clothing,14861
Electronics,13684
Food,8071
Electronics,10031
Electronics,15379
Clothing,9410
Food,8832
Health,11194
Electronics,16067
Beauty,5189
Electronics,5117
Clothing,7763
Clothing,13775
Clothing,6237
Electronics,8952
Clothing,3866
Home,9109
Electronics,13536
Clothing,5815
Electronics,16093
Clothing,2540
Electronics,9026
Electronics,7911
Books,18135
Electronics,17201
Food,6803
Clothing,8255
Books,10973
Books,12244
Electronics,6482
Books,6379
Food,15242
Beauty,6776
Electronics,13817
Clothing,9475
Books,2564
Home,13510
Food,12371
Clothing,1535
Electronics,3770
Health,11359
Beauty,4094
Clothing,11223
Beauty,7861
Food,13031
Home,13990
Electronics,11303
Electronics,3447
